ticker,created_time,price,count,taker_side,trade_id
KXBTCD-25NOV0912-T104249.99,2025-11-09T16:24:48.125751Z,0.02,60,yes,7c8873e8-c030-401b-f2ec-9f7797ce4670
KXBTCD-25NOV0912-T104249.99,2025-11-09T16:22:53.745234Z,0.03,31,yes,ec8b143b-e270-7d35-1edc-2b62f1e8f135
KXBTCD-25NOV0912-T104249.99,2025-11-09T16:13:29.084058Z,0.05,10,yes,9c6dc0c7-0865-5d59-0acc-8161fe07d2f0
KXBTCD-25NOV0912-T104249.99,2025-11-09T16:08:54.036971Z,0.1,188,yes,9c394643-84f6-4705-d00e-c1c2413e54fe
KXBTCD-25NOV0912-T104249.99,2025-11-09T16:08:38.095299Z,0.09,1,no,e6492e20-6a6f-403f-4e82-6a0994fb0e7c
KXBTCD-25NOV0912-T104249.99,2025-11-09T16:08:38.095299Z,0.09,1,no,3f627c04-7fd7-406d-56ea-a5cfc2b27173
KXBTCD-25NOV0912-T104249.99,2025-11-09T16:06:38.893747Z,0.13,52,no,6bc107ba-4172-46e7-778a-64dd139344da
KXBTCD-25NOV0912-T104249.99,2025-11-09T16:04:54.337317Z,0.13,100,yes,44624826-e7f7-7d4f-c245-c5adea717b2e
KXBTCD-25NOV0912-T104249.99,2025-11-09T16:02:51.876803Z,0.14,40,no,f281ef12-0239-7ce3-14a0-d2dab7d92960
KXBTCD-25NOV0912-T104249.99,2025-11-09T16:01:41.772004Z,0.14,40,yes,1375e328-fe04-6b8c-13b4-0f0845e44601
KXBTCD-25NOV0912-T104249.99,2025-11-09T16:00:55.802743Z,0.18,52,yes,db87ab54-8cbd-6d5f-ea89-e9c549d46007
